LAKE,TOWN,STATION,DATE,Depth,LAYER,PH,H_ION,ALK,COLOR,TP,COND,TURBIDITY,YEAR,MONTH,Comments,SampleID,CompleteDate,ID,Date_Sta_Lr,Chloride,StationText,TIME
CHALK POND,NEWBURY,-9999,2022-05-30,NA,I,6.68,NA,NA,NA,0.007,45.6,0.84,2022,NA,NA,S2022-52,44714,37083,5302022S2022-52,7,MAIN BEACH,NA
CHALK POND,NEWBURY,-9999,2022-05-30,NA,I,6.25,NA,NA,NA,0.004,16.58,0.67,2022,NA,NA,S2022-51,44714,37082,5302022S2022-51,3,INLET,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-06-12,NA,I,6.9,NA,NA,NA,0.009,146.5,0.94,2022,NA,NA,S2022-146,44728,37007,6122022S2022-146,38,OUTLET,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-06-12,NA,I,6.15,NA,NA,NA,0.021,32.7,1.59,2022,NA,NA,S2022-145,44728,37006,6122022S2022-145,3.64,ROUTE 103 INLET,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-06-12,NA,I,6.32,NA,NA,NA,0.124,52.7,20.7,2022,NA,NA,S2022-144,44728,37005,6122022S2022-144,7.21,NORTH BROOK,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-06-12,NA,I,7.03,NA,NA,NA,0.039,520,5.52,2022,NA,NA,S2022-143,44728,37004,6122022S2022-143,147,HAMEL BK AT 103,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-06-12,NA,I,6.91,NA,NA,NA,0.017,309,2.54,2022,NA,NA,S2022-142,44728,37003,6122022S2022-142,78.5,HAMEL BK,NA
baptist pond,SPRINGFIELD,-9999,2022-07-13,NA,I,6.88,NA,NA,NA,0.009,151.1,2.51,2022,NA,NA,S2022-317,44763,37061,7132022S2022-317,NA,OUTLET,NA
baptist pond,SPRINGFIELD,-9999,2022-07-13,NA,I,6.45,NA,NA,NA,0.017,308,4.75,2022,NA,NA,S2022-316,44763,37060,7132022S2022-316,NA,STONEY BROOK INLET,NA
baptist pond,SPRINGFIELD,-9999,2022-07-13,NA,I,6.12,NA,NA,NA,0.02,21.27,1.4,2022,NA,NA,S2022-314,44763,37059,7132022S2022-314,NA,MCALVIN BROOK,NA
OTTER POND,SUNAPEE,-9999,2022-07-19,NA,I,7.21,NA,NA,NA,0.005,158.5,1.19,2022,NA,NA,S2022-355,44763,37074,7192022S2022-355,NA,OUTLET,NA
OTTER POND,SUNAPEE,-9999,2022-07-19,NA,I,7.04,NA,NA,NA,0.009,259,3.62,2022,NA,NA,S2022-354,44763,37073,7192022S2022-354,NA,BAPTIST BK,NA
OTTER POND,SUNAPEE,-9999,2022-07-19,NA,I,7.05,NA,NA,NA,0.008,235.5,0.87,2022,NA,NA,S2022-353,44763,37072,7192022S2022-353,NA,LITTLE SUNAPEE BK,NA
OTTER POND,SUNAPEE,-9999,2022-07-19,4.5,M,7.32,NA,NA,NA,0.006,158.4,1.04,2022,NA,NA,S2022-351,44763,37071,7192022S2022-351,NA,METALIMNION,NA
CHALK POND,NEWBURY,-9999,2022-07-24,NA,I,6.78,NA,NA,NA,0.013,23.3,1.9,2022,NA,NA,S2022-365,44770,37560,7242022S2022-365,3,INLET,NA
CHALK POND,NEWBURY,-9999,2022-07-24,NA,I,6.7,NA,NA,NA,0.01,48.9,1.82,2022,NA,NA,S2022-363,44770,37559,7242022S2022-363,8.14,MAIN BEACH,NA
Star Lake,SPRINGFIELD,-9999,2022-08-01,12.5,I,NA,NA,NA,NA,0.012,NA,NA,2022,NA,NA,S2022-426,44776,37601,812022S2022-426,NA,1m off bottom,NA
Star Lake,SPRINGFIELD,-9999,2022-08-01,10.5,H,6.09,NA,NA,NA,0.009,41.9,3.08,2022,NA,NA,S2022-425,44776,37600,812022S2022-425,5.57,HYPOLIMNION,NA
Star Lake,SPRINGFIELD,-9999,2022-08-01,6,M,6.19,NA,NA,NA,0.01,42,2.22,2022,NA,NA,S2022-424,44776,37599,812022S2022-424,5.66,METALIMNION,NA
Star Lake,SPRINGFIELD,-9999,2022-08-01,2,E,6.76,NA,5.8,40,0.005,47.6,0.94,2022,NA,NA,S2022-423,44776,37598,812022S2022-423,6.78,epilimnion,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-08-15,NA,I,6.93,NA,NA,NA,0.008,153.6,0.87,2022,NA,NA,S2022-475,44791,37621,8152022S2022-475,29.6,OUTLET,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-08-15,NA,I,6.62,NA,NA,NA,0.023,34.3,1.54,2022,NA,NA,S2022-474,44791,37620,8152022S2022-474,3,ROUTE 103 INLET,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-08-15,NA,I,7.02,NA,NA,NA,0.018,807,9.29,2022,NA,NA,S2022-473,44791,37619,8152022S2022-473,206,HAMEL BK AT 103,NA
MOUNTAINVIEW LAKE,SUNAPEE,-9999,2022-08-15,NA,I,7.16,NA,NA,NA,0.015,380,3.38,2022,NA,NA,S2022-472,44791,37618,8152022S2022-472,78.7,HAMEL BK,NA
OTTER POND,SUNAPEE,-9999,2022-08-16,NA,I,7.11,NA,NA,NA,0.006,171.5,1.69,2022,NA,NA,S2022-499,44791,37633,8162022S2022-499,34.5,OUTLET,NA
OTTER POND,SUNAPEE,-9999,2022-08-16,NA,I,6.81,NA,NA,NA,0.01,169,1.11,2022,NA,NA,S2022-498,44791,37632,8162022S2022-498,35.4,LITTLE SUNAPEE BK,NA
OTTER POND,SUNAPEE,-9999,2022-08-16,4.5,M,6.61,NA,NA,NA,0.008,163.8,1.71,2022,NA,NA,S2022-496,44791,37631,8162022S2022-496,32.2,METALIMNION,NA
baptist pond,SPRINGFIELD,-9999,2022-09-06,NA,I,6.92,NA,NA,NA,0.009,153.6,2.36,2022,NA,NA,S2022-562,44812,37663,962022S2022-562,NA,OUTLET,NA
baptist pond,SPRINGFIELD,-9999,2022-09-06,NA,I,6.63,NA,NA,NA,0.015,429,8.15,2022,NA,NA,S2022-561,44812,37662,962022S2022-561,NA,STONEY BROOK INLET,NA
baptist pond,SPRINGFIELD,-9999,2022-09-06,NA,I,6.58,NA,NA,NA,0.055,108.6,4.56,2022,NA,NA,S2022-560,44812,37661,962022S2022-560,NA,MCALVIN BROOK,NA
OTTER POND,SUNAPEE,-9999,2022-09-18,NA,I,7.14,NA,NA,NA,0.007,170,1.19,2022,NA,NA,S2022-624,44826,37685,9182022S2022-624,39.7,OUTLET,NA
OTTER POND,SUNAPEE,-9999,2022-09-18,NA,I,6.97,NA,NA,NA,0.015,384,0.83,2022,NA,NA,S2022-623,44826,37684,9182022S2022-623,100,LITTLE SUNAPEE BK,NA
OTTER POND,SUNAPEE,-9999,2022-09-18,NA,I,6.81,NA,NA,NA,0.004,676,2.15,2022,NA,NA,S2022-622,44826,37683,9182022S2022-622,182,BAPTIST BK,NA
OTTER POND,SUNAPEE,-9999,2022-09-18,4.5,M,7.04,NA,NA,NA,0.007,171.1,1.69,2022,NA,NA,S2022-620,44826,37682,9182022S2022-620,39.3,METALIMNION,NA
CHALK POND,NEWBURY,-9999,2022-09-26,NA,I,6.82,NA,NA,NA,0.005,50.5,1.15,2022,NA,NA,S2022-655,44833,37700,9262022S2022-655,7.26,MAIN BEACH,NA
CHALK POND,NEWBURY,-9999,2022-09-26,NA,I,6.78,NA,NA,NA,0.005,24.41,1.27,2022,NA,NA,S2022-654,44833,37699,9262022S2022-654,3,INLET,NA
